candle_begin_time,close,每次投入资金,累计投入资金,每次买币数量,累计买币数量,平均持有成本,币市值
2013-12-04,1138.5,100,100,0.08765920070267896,0.08765920070267896,1140.7815631262524,99.8
2013-12-05,1023.87,100,200,0.09747331204156777,0.18513251274424675,1080.3072730735962,189.55162582345193
2013-12-06,820.0,100,300,0.12170731707317073,0.3068398298174175,977.708794123998,251.60866045028234
2013-12-07,693.0,100,400,0.144011544011544,0.45085137382896145,887.2103385266541,312.4400020634703
2013-12-08,784.9,100,500,0.12714995540833227,0.5780013292372937,865.0499137428957,453.67324331835187
2013-12-09,899.01,100,600,0.11101100098997786,0.6890123302272716,870.8117020229365,619.4289749976194
2013-12-10,983.0,100,700,0.10152594099694813,0.7905382712242197,885.4726272973312,777.099120613408
2013-12-11,879.3,100,800,0.11349937450244513,0.9040376457266648,884.9189010895233,794.9203018874563
2013-12-12,873.0,100,900,0.1143184421534937,1.0183560878801585,883.7773061026893,889.0248647193783
2013-12-13,885.02,100,1000,0.11276581320196154,1.13112190108212,884.0780105515785,1001.0655048956979
2013-12-14,850.78,100,1100,0.11730412092432826,1.2484260220064483,881.1094775420488,1062.135891002646
2013-12-15,859.71,100,1200,0.11608565679124355,1.3645116787976919,879.4354923054616,1173.0843353791638
2013-12-16,690.0,100,1300,0.1446376811594203,1.5091493599571122,861.4124184745664,1041.3130583704074
2013-12-17,675.0,100,1400,0.14785185185185185,1.657001211808964,844.8998045521081,1118.4758179710507
2013-12-18,520.01,100,1500,0.19191938616565066,1.8489205979746148,811.284163118288,961.4572001527795
2013-12-19,684.99,100,1600,0.14569555759938102,1.9946161555739959,802.1593505741779,1366.2921204066315
2013-12-20,609.01,100,1700,0.1638725144086304,2.1584886699826265,787.5881044183027,1314.5411849061193
2013-12-21,595.03,100,1800,0.1677226358334874,2.326211305816114,773.7904099681515,1384.1655132997623
2013-12-22,614.999,100,1900,0.16227668662875874,2.4884879924448726,763.5158400476352,1530.4176268656042
2013-12-23,654.76,100,2000,0.15242226159203373,2.6409102540369065,757.3146406405865,1729.1623979332048
2013-12-24,651.83,100,2100,0.1531074053050642,2.7940176593419705,751.6058436418683,1821.2245308888769
2013-12-25,679.5,100,2200,0.1468727005150846,2.9408903598570553,748.0727707601221,1998.334999522869
2013-12-26,757.3889,100,2300,0.13176850096429985,3.072658860821355,748.5373756672698,2327.1977146727395
2013-12-27,720.61,100,2400,0.13849377610635433,3.2111526369277095,747.3951790395785,2313.9887016964767
2013-12-28,712.2,100,2500,0.14012917719741647,3.3512818141251257,745.9832203495669,2386.782908019915
