candle_end_time,open,close,high,low,volume
2016-04-28 08:00:00,7.725,7.164,7.87,7.15,21316.861679509948
2016-04-29 08:00:00,7.165,7.402,7.72,7.163,14689.02737072
2016-04-30 08:00:00,7.4351,8.7501,9.36,7.4351,77451.74844565999
2016-05-01 08:00:00,8.7247,8.7911,8.998,8.3503,21739.554465749945
2016-05-02 08:00:00,8.83,10.079,10.3,8.633,85657.23977081038
2016-05-03 08:00:00,10.079,9.371,10.079,9.183,39457.90558953999
2016-05-04 08:00:00,9.3819,9.361,9.9991,9.253,21519.827252149935
2016-05-05 08:00:00,9.4,9.75,10.0,9.3,19098.154043090024
2016-05-06 08:00:00,9.78,9.45,9.9768,9.1202,26734.75613334996
2016-05-07 08:00:00,9.45,9.408,9.644,9.2,9632.25179968001
2016-05-08 08:00:00,9.408,9.51,9.64,9.0,23125.104883189968
2016-05-09 08:00:00,9.5,9.361,9.647,9.252,22611.03067221006
2016-05-10 08:00:00,9.36,9.4,9.47,9.28,5466.86807901
2016-05-11 08:00:00,9.3971,9.93,9.98,9.391,31483.93740670005
2016-05-12 08:00:00,9.93,10.07,10.472,9.79,41337.27258813002
2016-05-13 08:00:00,10.088,10.564,11.11,10.065,56862.22327222008
2016-05-14 08:00:00,10.564,10.25,10.675,9.71,34420.82496343001
2016-05-15 08:00:00,10.25,10.008,10.42,9.934,12209.328815519972
2016-05-16 08:00:00,9.968,11.14,11.47,9.968,73690.54986528015
2016-05-17 08:00:00,11.12,12.174,12.6,11.098,155012.92634423063
2016-05-18 08:00:00,12.162,13.595,14.4,12.162,124398.04624164067
2016-05-19 08:00:00,13.532,14.7,14.75,13.203,116892.27269802005
2016-05-20 08:00:00,14.7,13.571,14.89,13.31,100810.08413047981
2016-05-21 08:00:00,13.572,14.05,14.052,13.01,60939.37302974993
2016-05-22 08:00:00,14.04,14.21,14.51,13.624,35618.77513724005
2016-05-23 08:00:00,14.224,13.509,14.49,13.3,51214.93403586982
2016-05-24 08:00:00,13.35,12.8,13.82,12.0,126111.78057383774
2016-05-25 08:00:00,12.8,12.522,13.0,11.8,72108.63737749946
2016-05-26 08:00:00,12.499,12.414,13.067,12.13,62391.50286747939
2016-05-27 08:00:00,12.469,11.262,12.499,10.525,188603.1512088782
2016-05-28 08:00:00,11.241,11.898,12.499,10.384,173772.33154165972
2016-05-29 08:00:00,11.985,12.45,12.89,11.78,133395.58282357972
2016-05-30 08:00:00,12.482,12.746,12.81,12.3,37001.85766320006
2016-05-31 08:00:00,12.727,14.13,14.3,12.6,154244.82896906993
2016-06-01 08:00:00,14.131,13.945,14.3,13.46,86596.08853878021
