candle_end_time,open,close,high,low,volume
2017-05-19 08:00:00,0.37999,0.32498,0.37999,0.25,2130933.0088796103
2017-05-20 08:00:00,0.32499,0.34716,0.37199,0.2911,3608873.1289023543
2017-05-21 08:00:00,0.347,0.328,0.36998,0.32102,2597806.7755010473
2017-05-22 08:00:00,0.327,0.29717,0.3358,0.25,6474949.239428466
2017-05-23 08:00:00,0.29912,0.32158,0.34991,0.28063,3255225.478139081
2017-05-24 08:00:00,0.32,0.2886,0.33304,0.2819,4288168.025369318
2017-05-25 08:00:00,0.2886,0.2382,0.29245,0.22899,8004757.920914679
2017-05-26 08:00:00,0.2382,0.259,0.32126,0.23609,6493159.0548232
2017-05-27 08:00:00,0.25881,0.20142,0.272,0.1445,9369145.62064255
2017-05-28 08:00:00,0.20191,0.21631,0.23438,0.19,5838709.807428633
2017-05-29 08:00:00,0.21628,0.22499,0.23795,0.20194,3998030.9890366714
2017-05-30 08:00:00,0.22405,0.19823,0.23128,0.19305,3942879.5772489696
2017-05-31 08:00:00,0.19762,0.23757,0.244,0.17869,6349241.61520095
2017-06-01 08:00:00,0.236,0.32048,0.3291,0.23387,16032858.704375237
2017-06-02 08:00:00,0.32406,0.28406,0.32437,0.26394,6283984.71865451
2017-06-03 08:00:00,0.28397,0.28057,0.295,0.26016,3199897.026969857
2017-06-04 08:00:00,0.28379,0.28842,0.30249,0.26015,4488245.919630077
2017-06-05 08:00:00,0.28842,0.28304,0.29286,0.27849,1975113.3783121493
2017-06-06 08:00:00,0.2846,0.28112,0.28988,0.26933,6718638.420165138
2017-06-07 08:00:00,0.28011,0.2701,0.29849,0.26839,3658666.44321134
2017-06-08 08:00:00,0.27009,0.28249,0.29576,0.26482,2288428.19619042
2017-06-09 08:00:00,0.28426,0.28032,0.2945,0.2793,2379963.7788527375
2017-06-10 08:00:00,0.28036,0.251,0.2837,0.25051,5036157.2162649715
2017-06-11 08:00:00,0.251,0.26812,0.27189,0.24987,4243778.504492655
2017-06-12 08:00:00,0.27,0.23705,0.2826,0.22001,9026799.170415351
2017-06-13 08:00:00,0.23986,0.2597,0.27544,0.23406,3645353.140511035
2017-06-14 08:00:00,0.26,0.25418,0.29554,0.24249,7789503.937821612
2017-06-15 08:00:00,0.25585,0.24095,0.26097,0.20347,3947695.9223126546
2017-06-16 08:00:00,0.2385,0.24599,0.25024,0.22514,2175500.3145679063
2017-06-17 08:00:00,0.24601,0.257,0.26195,0.23475,3964957.7592832013
2017-06-18 08:00:00,0.257,0.26308,0.27637,0.24347,3994007.113991719
2017-06-19 08:00:00,0.264,0.28066,0.28067,0.25806,2812101.6365253283
2017-06-20 08:00:00,0.28066,0.301,0.3237,0.275,8805323.890543638
2017-06-21 08:00:00,0.29983,0.2691,0.30863,0.25201,4723583.148779244
2017-06-22 08:00:00,0.2691,0.2753,0.28067,0.25823,2745498.272218566
2017-06-23 08:00:00,0.2758,0.291,0.29474,0.27408,2893659.5564424032
2017-06-24 08:00:00,0.29071,0.26901,0.2998,0.2612,4036331.6089886585
2017-06-25 08:00:00,0.26968,0.255,0.27675,0.24596,2677183.8479693383
2017-06-26 08:00:00,0.2557,0.24201,0.26195,0.219,7477974.246673044
2017-06-27 08:00:00,0.24201,0.25794,0.25794,0.216,4938016.267551568
2017-06-28 08:00:00,0.25794,0.263,0.26645,0.24379,3326949.0260547604
2017-06-29 08:00:00,0.26297,0.25019,0.2645,0.242,2075640.7569198327
2017-06-30 08:00:00,0.24998,0.24216,0.2581,0.2413,2119465.4818929033
2017-07-01 08:00:00,0.2438,0.23252,0.2451,0.2259,1672767.3049487562
2017-07-02 08:00:00,0.23221,0.24662,0.24868,0.22901,1351885.0121938102
2017-07-03 08:00:00,0.24662,0.25064,0.2561,0.24086,3120909.588997482
2017-07-04 08:00:00,0.2502,0.246,0.25653,0.24453,1689291.7448466201
2017-07-05 08:00:00,0.246,0.24891,0.25515,0.2422,2147110.943806174
2017-07-06 08:00:00,0.25,0.24857,0.25168,0.2463,1579769.7406626712
2017-07-07 08:00:00,0.24857,0.22741,0.2509,0.22648,3397497.137226808
2017-07-08 08:00:00,0.22741,0.23,0.23212,0.209,3768598.196362479
2017-07-09 08:00:00,0.23,0.22401,0.24255,0.2237,1256072.7536126736
2017-07-10 08:00:00,0.22383,0.18556,0.22497,0.17631,6290978.220504593
2017-07-11 08:00:00,0.186,0.17492,0.1964,0.148,14101812.08984972
