datetime,mv
2013/11/29,136.4603949
2013/11/30,136.2038997
2013/12/1,115.3170865
2013/12/2,125.9127108
2013/12/3,130.1845219
2013/12/4,139.0342888
2013/12/5,126.2691433
2013/12/6,100.2564524
2013/12/7,84.42962012
2013/12/8,96.27500054
2013/12/9,108.0871552
2013/12/10,119.669516
2013/12/11,106.385463
2013/12/12,105.7889007
2013/12/13,108.168202
2013/12/14,105.7898762
2013/12/15,106.2551759
2013/12/16,85.65533655
2013/12/17,82.7962366
2013/12/18,63.47159316
2013/12/19,84.0639742
2013/12/20,75.99576581
2013/12/21,73.63114284
2013/12/22,75.05757333
2013/12/23,81.92486875
2013/12/24,81.0004225
2013/12/25,83.05173642
2013/12/26,92.79735093
2013/12/27,89.55394653
2013/12/28,88.69918852
2013/12/29,90.82103472
2013/12/30,92.1716805
2013/12/31,91.91325468
2014/1/1,94.03308443
2014/1/2,97.81074099
2014/1/3,99.80135039
2014/1/4,104.7736256
2014/1/5,113.7966104
2014/1/6,116.2053334
2014/1/7,98.082996
2014/1/8,103.1036282
2014/1/9,103.6539685
2014/1/10,106.3408141
2014/1/11,111.9563631
2014/1/12,105.7865284
2014/1/13,103.123761
2014/1/14,102.1853607
2014/1/15,105.6130627
2014/1/16,102.5518567
2014/1/17,100.0066338
2014/1/18,103.15662
2014/1/19,106.9950436
2014/1/20,106.9445358
2014/1/21,106.2028288
2014/1/22,103.995735
2014/1/23,101.1355785
2014/1/24,98.10138383
2014/1/25,105.0953944
2014/1/26,109.0279899
2014/1/27,95.03544265
2014/1/28,100.1325148
2014/1/29,101.8265955
2014/1/30,101.0033975
2014/1/31,102.3841161
2014/2/1,102.7520302
2014/2/2,101.9003859
2014/2/3,101.7477441
2014/2/4,102.2934258
2014/2/5,100.3443595
2014/2/6,96.62790968
2014/2/7,88.10607302
2014/2/8,83.37738029
2014/2/9,84.51229252
2014/2/10,84.30743145
2014/2/11,83.23816983
2014/2/12,80.73458118
2014/2/13,75.00376055
2014/2/14,82.06805757
2014/2/15,80.72579444
2014/2/16,76.50358897
2014/2/17,77.72386704
2014/2/18,77.79035052
2014/2/19,77.37830479
2014/2/20,69.09539156
2014/2/21,71.3560273
2014/2/22,75.2680826
2014/2/23,75.34325958
2014/2/24,67.96972081
2014/2/25,67.04461707
2014/2/26,72.54505098
2014/2/27,72.08406962
2014/2/28,68.43354045
2014/3/1,70.49084125
2014/3/2,69.78523798
2014/3/3,83.26933934
2014/3/4,83.17230721
2014/3/5,83.04000973
2014/3/6,82.86267144
2014/3/7,78.5563012
2014/3/8,77.12151324
2014/3/9,79.58688083
2014/3/10,78.4643304
2014/3/11,79.28102767
2014/3/12,79.0583242
2014/3/13,79.83961165
2014/3/14,78.69180327
2014/3/15,79.63443092
2014/3/16,79.03421902
2014/3/17,77.96507719
2014/3/18,77.0418045
2014/3/19,76.44697541
2014/3/20,73.82670998
2014/3/21,71.68658436
2014/3/22,70.90149896
2014/3/23,70.4587388
2014/3/24,73.26519973
2014/3/25,73.35179087
2014/3/26,72.98667045
2014/3/27,59.23616541
2014/3/28,62.32800729
2014/3/29,61.78423002
2014/3/30,57.91425432
2014/3/31,57.5229491
2014/4/1,60.23349257
2014/4/2,55.06315519
2014/4/3,56.04033965
2014/4/4,56.41619232
2014/4/5,58.24869918
2014/4/6,58.08862089
2014/4/7,56.70834553
2014/4/8,57.18578081
2014/4/9,55.89577595
2014/4/10,46.11916421
2014/4/11,53.18038822
2014/4/12,53.21872929
2014/4/13,52.34669425
2014/4/14,58.02296564
2014/4/15,65.22978018
2014/4/16,66.74472495
2014/4/17,62.78792162
2014/4/18,60.74121631
2014/4/19,63.53703152
2014/4/20,63.12898135
2014/4/21,62.84668112
2014/4/22,61.8703852
2014/4/23,62.31921123
2014/4/24,63.50008606
2014/4/25,58.57081094
2014/4/26,58.22777197
2014/4/27,55.42719718
2014/4/28,55.93860735
2014/4/29,56.83729755
2014/4/30,56.90814681
2014/5/1,58.21427537
2014/5/2,57.16631542
2014/5/3,55.70425588
2014/5/4,55.54781871
2014/5/5,55.18954594
2014/5/6,54.63475751
2014/5/7,55.90803411
2014/5/8,56.09809375
2014/5/9,57.3013099
2014/5/10,57.95549116
2014/5/11,55.98957083
2014/5/12,56.33625977
2014/5/13,56.25307626
2014/5/14,56.69107676
2014/5/15,57.12902227
2014/5/16,57.25213024
2014/5/17,57.37963439
2014/5/18,57.0616706
2014/5/19,57.06975736
2014/5/20,62.14911036
2014/5/21,62.94421097
2014/5/22,67.16608245
2014/5/23,66.62964947
2014/5/24,67.27956779
2014/5/25,73.25371161
2014/5/26,74.79329905
2014/5/27,73.25146954
2014/5/28,74.02198986
2014/5/29,72.90263801
2014/5/30,78.9775258
2014/5/31,80.07251052
2014/6/1,80.94127199
2014/6/2,84.87581299
2014/6/3,85.80310345
2014/6/4,82.49187176
2014/6/5,84.78554622
2014/6/6,84.09356748
2014/6/7,84.28207299
2014/6/8,84.45491366
2014/6/9,83.58147715
2014/6/10,84.12290795
2014/6/11,81.55308476
2014/6/12,75.64343453
2014/6/13,77.3704114
2014/6/14,74.45590027
2014/6/15,76.49365738
2014/6/16,76.42482083
2014/6/17,78.86301019
2014/6/18,78.5120484
2014/6/19,77.26003738
2014/6/20,76.78068129
2014/6/21,76.9177559
2014/6/22,77.88611993
2014/6/23,76.84033529
2014/6/24,75.36335364
2014/6/25,73.31653671
2014/6/26,75.25764883
2014/6/27,77.37367553
2014/6/28,77.30991825
2014/6/29,78.1328593
2014/6/30,82.96104498
2014/7/1,83.11322251
2014/7/2,84.44196138
2014/7/3,83.72187112
2014/7/4,81.87110048
2014/7/5,81.99434808
2014/7/6,82.58182479
2014/7/7,81.08135344
2014/7/8,81.20051778
2014/7/9,81.1868385
2014/7/10,80.20237762
2014/7/11,82.2089506
2014/7/12,82.4564005
2014/7/13,81.54263416
2014/7/14,80.62879089
2014/7/15,80.94889738
2014/7/16,80.34801951
2014/7/17,81.19393142
2014/7/18,81.96215937
2014/7/19,81.95600894
2014/7/20,81.37811958
2014/7/21,81.1820069
2014/7/22,81.11797091
2014/7/23,80.86153627
2014/7/24,78.57484529
2014/7/25,78.5157465
2014/7/26,77.84673062
2014/7/27,77.61284409
2014/7/28,76.56821235
2014/7/29,76.46384446
2014/7/30,74.2085381
2014/7/31,76.70835225
2014/8/1,77.86790645
2014/8/2,77.1618287
2014/8/3,76.83526402
2014/8/4,77.13119167
2014/8/5,76.71272523
2014/8/6,76.63388045
2014/8/7,77.21017424
2014/8/8,77.71963607
2014/8/9,77.32613293
2014/8/10,77.57400139
2014/8/11,75.67174443
2014/8/12,74.81330208
2014/8/13,71.81462481
2014/8/14,66.49281003
2014/8/15,65.33513617
2014/8/16,68.33969425
2014/8/17,64.68997837
2014/8/18,60.72253712
2014/8/19,63.87512371
2014/8/20,67.41568368
2014/8/21,68.12928575
2014/8/22,67.72885578
2014/8/23,65.64533068
2014/8/24,67.00956771
2014/8/25,66.26345845
2014/8/26,67.48177565
2014/8/27,67.44870912
2014/8/28,67.03027453
2014/8/29,67.14457237
2014/8/30,66.60386235
2014/8/31,63.12805192
2014/9/1,62.76310716
2014/9/2,63.116977
2014/9/3,63.15866374
2014/9/4,64.77466955
2014/9/5,63.95639882
2014/9/6,64.17496157
2014/9/7,63.85590811
2014/9/8,62.85639693
2014/9/9,62.96104861
2014/9/10,63.5228906
2014/9/11,63.59502248
2014/9/12,63.34868014
2014/9/13,63.53616465
2014/9/14,63.40774105
2014/9/15,63.09194032
2014/9/16,61.87572923
2014/9/17,60.73908192
2014/9/18,56.3891482
2014/9/19,52.46775432
2014/9/20,54.36074326
2014/9/21,53.03654307
2014/9/22,53.49631052
2014/9/23,57.98753472
2014/9/24,56.32907616
2014/9/25,54.79900466
2014/9/26,53.86075388
2014/9/27,53.22077722
2014/9/28,50.25732219
2014/9/29,50.04176569
2014/9/30,51.58621735
2014/10/1,51.15682007
2014/10/2,50.03084473
2014/10/3,47.96856573
2014/10/4,43.89217848
2014/10/5,42.79043445
2014/10/6,44.08130503
2014/10/7,44.90816868
2014/10/8,47.15886031
2014/10/9,48.78714843
2014/10/10,48.33837531
2014/10/11,48.44960867
2014/10/12,50.63686791
2014/10/13,52.23929686
2014/10/14,53.65155044
2014/10/15,52.8504709
2014/10/16,51.22907936
2014/10/17,51.4033955
2014/10/18,52.44892027
2014/10/19,52.20786278
2014/10/20,51.32283065
2014/10/21,51.82425296
2014/10/22,51.39455225
2014/10/23,48.08947554
2014/10/24,48.09417063
2014/10/25,46.621363
2014/10/26,47.63038436
2014/10/27,47.41411025
2014/10/28,48.04815425
2014/10/29,45.10176521
2014/10/30,46.42192354
2014/10/31,45.49893657
2014/11/1,43.82113896
2014/11/2,43.85292349
2014/11/3,44.09046585
2014/11/4,44.49938489
2014/11/5,45.722046
2014/11/6,47.05585167
2014/11/7,46.14263987
2014/11/8,46.56984197
2014/11/9,48.97967439
2014/11/10,49.48664448
2014/11/11,49.60235831
2014/11/12,57.15426306
2014/11/13,56.7883251
2014/11/14,53.71043064
2014/11/15,50.79586606
2014/11/16,52.39697443
2014/11/17,52.34700031
2014/11/18,50.71162744
2014/11/19,51.4490371
2014/11/20,48.39037242
2014/11/21,47.45599245
2014/11/22,47.74993026
2014/11/23,49.74536263
2014/11/24,51.02169024
2014/11/25,50.82384316
2014/11/26,49.89168857
2014/11/27,50.08055404
2014/11/28,51.01284366
2014/11/29,50.89805448
2014/11/30,51.25963515
2014/12/1,51.43440192
2014/12/2,51.72924302
2014/12/3,50.88498697
2014/12/4,50.16489789
2014/12/5,51.1636377
2014/12/6,50.89536655
2014/12/7,50.94941876
2014/12/8,49.1729697
2014/12/9,47.86889316
2014/12/10,47.08566046
2014/12/11,47.66078552
2014/12/12,47.95049198
2014/12/13,47.2609687
2014/12/14,47.85248774
2014/12/15,47.0090938
2014/12/16,44.53204009
2014/12/17,43.55015129
2014/12/18,42.41894495
2014/12/19,43.30805147
2014/12/20,44.96946323
2014/12/21,43.73826072
2014/12/22,45.25700595
2014/12/23,45.63591668
2014/12/24,44.00631477
2014/12/25,43.5378839
2014/12/26,44.76703828
2014/12/27,43.1326812
2014/12/28,43.33395591
2014/12/29,42.72274601
2014/12/30,42.47060505
2014/12/31,43.77517177
2015/1/1,42.97535254
2015/1/2,43.09557148
2015/1/3,38.4627197
2015/1/4,36.1632567
2015/1/5,37.58100084
2015/1/6,39.1962218
2015/1/7,40.32258854
2015/1/8,38.82762152
2015/1/9,39.8042796
2015/1/10,37.67542156
2015/1/11,36.43311966
2015/1/12,36.73552165
2015/1/13,30.99001239
2015/1/14,24.44375472
2015/1/15,28.80795649
2015/1/16,28.57544117
2015/1/17,27.3687399
2015/1/18,28.89852649
2015/1/19,29.52760256
2015/1/20,29.04647722
2015/1/21,31.19676862
2015/1/22,32.09959629
2015/1/23,32.03430201
2015/1/24,34.10112173
2015/1/25,34.91684707
2015/1/26,37.64413485
2015/1/27,36.27765634
2015/1/28,32.21725804
2015/1/29,32.1714716
2015/1/30,31.20278074
2015/1/31,29.97693635
2015/2/1,31.2963221
2015/2/2,32.85800937
2015/2/3,31.35349632
2015/2/4,31.30517787
2015/2/5,29.9694186
2015/2/6,30.69080172
2015/2/7,31.45767737
2015/2/8,30.86540935
2015/2/9,30.41800624
2015/2/10,30.3884472
2015/2/11,30.30673909
2015/2/12,30.66989261
2015/2/13,32.56810313
2015/2/14,35.60711801
2015/2/15,32.50247205
2015/2/16,32.37580454
2015/2/17,33.73700471
2015/2/18,32.7381274
2015/2/19,33.29630575
2015/2/20,33.79035119
2015/2/21,33.9036772
2015/2/22,32.72632781
2015/2/23,33.13903994
2015/2/24,33.12483772
2015/2/25,32.95872654
2015/2/26,32.82272534
